KEY THEMES,BEHAVIORS TO WATCH FOR,IMPACT,MITIGATION STRATEGIES
Decision Making,Avoids making tough decisions,Projects get delayed and team loses confidence,Set clear decision-making timelines and criteria
Communication,Poor listening skills,Misalignment and missed opportunities,Practice active listening and ask clarifying questions
Leadership,Micromanaging,Team feels disempowered and demotivated,Delegate more and focus on outcomes rather than methods
Collaboration,Working in silos,Reduced innovation and efficiency,Actively seek input from others and share information
Change Management,Resistance to change,Organization falls behind competitors,Stay open to new ideas and lead by example
UNPREDICTABLE,Quickly gets visibly angry when frustrated or annoyed by the actions of others.,"Think in terms of amplitude and wavelength of emotional reactions.  Unpredictable leaders tend to have “higher highs” with positive reactions and “lower lows” with negative reactions, and they need to try to reduce the amplitude of these reactions by being more measured and calm. They also tend to have a higher frequency of emotional reactions, so they need to reduce the wavelength by becoming more patient and restrained in reacting to new information and situations.",Book: Why CEOs Fail - Ch. 3 (pg. 27) —> https://www.amazon.com/Why-CEOs-Fail-non-Franchise-Leadership-ebook/dp/B001C30B44 
,"Demonstrates emotional outbursts, such as yelling at employees, vendors, or customers.",Take a step back before reacting to something and decide if your intentions line up with your emotions.,How successful people stay calm —> https://www.forbes.com/sites/travisbradberry/2014/02/06/how-successful-people-stay-calm/#c1f83682f793
,"Appears to fuel the emotions in a situation by failing to exert emotional control (e.g., gets worked up and gets others worked up).",Identify situations where you deal with stress more or less effectively.  Look for patterns where you are less effective and mark them as likely triggers for future over-reactions.  Have a plan so that you are more measured and patient when you next encounter those triggers.,How resilience works —> https://hbr.org/2002/05/how-resilience-works
,Appears to be on an emotional roller coaster with highs and lows associated with various colleagues.,"Practice mindful breathing and other calming techniques to take more control of your emotional state.  “Counting to 10” is a platitude but works, as does taking a walk or removing yourself from a situation until you can calm down.",Book/Audiobook: HBR Guide to Managing Stress at Work —> https://hbr.org/product/hbr-guide-to-managing-stress-at-work/an/11960E-KND-ENG
,Gets easily disappointed or disenchanted with employees who do not live up to expectations.,Give a colleague permission to “issue a volatile/emotional alert.” Find someone you trust and that has your best interests at heart to help you become more self-aware in moments where you are going past passionate or excited into over-excited or volatile.,"Book: Executive Stamina: How to Optimize Time, Energy, and Productivity to Achieve Peak Performance —> https://www.amazon.com/Executive-Stamina-Optimize-Productivity-Performance/dp/0470222905"
,Regularly conveys disappointment in others through emotional reactions.,Scan your calendar a week in advance and identify higher stress or higher intensity meetings or events. Make sure you build into the calendar the ability to be at your best before going into those events.,
,"Expresses an excessive amount of emotional regret regarding the way challenging situations are handled (e.g., obsesses).",,
,"Makes it difficult to determine values or beliefs because of emotional highs and lows (e.g., “so emotional you don’t know where they really stand”).",,
,"Creates directional uncertainty because of unpredictable emotional reactions (e.g., “you have no idea what will set them off”).",,
,,,
SKEPTICAL,Has difficulty accepting a compliment without questioning the motives.,Try to reframe the way you assess situations and colleagues by thinking about them generically and objectively — look at behavior without making interpretations about the motivations of others.  Think of possible positive reasons people may have for doing something and make an effort to consciously act (or consider the upside of acting) in a way that assumes these best intentions in others.,Book: Why CEOs Fail - Ch. 3 (pg. 27) —> https://www.amazon.com/Why-CEOs-Fail-non-Franchise-Leadership-ebook/dp/B001C30B44
,Assumes people have questionable or suspicious motives when they offer to do a favor.,Consider your short- and long-term goals and the multiple other people you will need input or assistance from to accomplish them. Try to think about the links between these relationships and accomplishing your goals,The power of vulnerability —> https://www.ted.com/talks/brene_brown_on_vulnerability
,Regularly questions what management is up to or planning.,Identify the value and contributions of someone that you have a difficult time trusting. It is easier to trust someone when you have clear reasons to respect them.,Book/Audiobook: The Speed of Trust—> https://www.amazon.com/SPEED-Trust-Thing-Changes-Everything-ebook/dp/B000MGATWG
,Expresses distrust for coworkers even when there is no reason to think they are untrustworthy.,Create two lists: List 1 should have the people that you trust AND are important to you and your team’s success. List 2 should have the people that you do not trust AND are important to you and your team’s success. Consider the people on List 2 who need to move to List 1 in order for you to have the most success. Strategize on how to build a better relationship with those people.,Book/Audiobook: Leadership and Self-deception —> https://www.amazon.com/dp/B00GUPYRUS
,"Indicates that people will cheat you if given the opportunity (e.g. ""keeps cards too close to the vest”).",Think back to why you may hold a grudge against an important stakeholder.  Determine what it would take to build a functional working relationship with that person.,"Book/Audiobook: Who’s Got Your Back: The Breakthrough Program To Build Deep, Trusting Relationships that Create Success—And Won’t Let You Fail —> https://www.amazon.com/Whos-Your-Back-Relationships-Success-ebook/dp/B0020HRVG2"
,Doesn't listen to feedback due to a lack of trust for those offering ideas or input (e.g. disqualifies the message because of the person giving it).,"Identify and deliver at least one positive, encouraging, or uplifting statement you could make to a coworker each day.",
,Has a hard time forgiving people even for minor issues.,Practice giving out positive feedback to stray away from “worst-case scenario” thinking.,
,Expresses concern that most people are only motivated by their own self interests.,,
,Writes people off or suggests that some people should never be forgiven.,,
,Struggles to create alliances with outside groups.,,
,,,
CAUTIOUS,Has a hard time expressing opinions that are unpopular or outside of the mainstream.,Reflect on past successes. Make a list of the decisions that you’ve made that turned out to be correct and the insights you had that led you to those decisions. Use this list to build confidence in your future ability to make decisions.,Book: Why CEOs Fail - Ch. 4 (pg. 39) —> https://www.amazon.com/Why-CEOs-Fail-non-Franchise-Leadership-ebook/dp/B001C30B44
,Has difficulty expressing views in front of strangers or unfamiliar groups.,Prioritize and set deadlines. Identify three-four critical decisions and set deadlines for when you will make them. Let these deadlines serve as a way of limiting the time spent on data-gathering and analysis.,Book/Audiobook - Judgement: How Winning Leaders Make Great Calls —> https://www.amazon.com/Judgment-Winning-Leaders-Great-Calls/dp/159184293X
,Seems reluctant to ask for favors or support even when it is clearly needed.,Identify and articulate a worst-case scenario as a way of developing a more realistic assessment of the negative associated with making a wrong decision.,Book - The Assertiveness Workbook: How to Express Your Ideas and Stand Up for Yourself at Work and in Relationships —> https://www.amazon.com/Assertiveness-Workbook-Express-Yourself-Relationships/dp/1572242094
,Worries a great deal about making a mistake or hesitates to take action when the risk of making a mistake exists.,Find a mentor or role-model that can provide informal feedback on key decisions. ,Book/Audiobook The Courage to Act: Five Factors of Courage to Transform Business  —> https://www.amazon.com/Courage-Act-Factors-Transform-Business/dp/0891063811
,Lacks self-confidence and/or vacillates when the time for a decision is due (or overdue).,Identify two or three areas where you can display a higher level of assertiveness in your current role. List specific behaviors that you will engage in to help with assertiveness and get feedback from colleagues on whether or not they see improvement in your assertiveness.,Book/Audiobook - Celebrating Failure —> https://www.amazon.com/Celebrating-Failure-Taking-Mistakes-Thinking/dp/1601630646
