KEY THEMES,OPPORTUNITIES FOR GROWTH,BEHAVIORS TO LOOK FOR,RESOURCES,POWERFUL COACHING QUESTIONS,TIPS
Understanding the business,Business insight,Doesn't understand how businesses work,Book: FYI For Your Improvement - Ch. 5 (pg. 52),What mental models do you use to stay on top of the business?,Identify someone you think is really good at this within your business unit and ask them what mental models or tools they use
Making complex decisions,Manages complexity,Misses the complexity of issues and force fits solutions,Book: FYI For Your Improvement - Ch. 8 (pg. 92),How do you prioritize and make decisions?,Develop a framework for prioritizing and ultimately saying "yes" and "no" to work more thoughtfully
Taking initiative,Action oriented,Slow to act on an opportunity,Book: FYI For Your Improvement - Ch. 2 (pg. 16),What opportunities do you see that you haven't acted on?,Identify trusted colleagues to follow up with and engage in ongoing discussions about opportunities
Building collaborative relationships,Collaborates,Overlooks opportunities to collaborate with others,Book: FYI For Your Improvement - Ch. 6 (pg. 64),How can you build more collaborative relationships?,Build hard checkpoints to ensure conclusions are not rushed
Communicating effectively,Clear communication,Tends to communicate the same way without adjusting to audience,Book: FYI For Your Improvement - Ch. 7 (pg. 78),How can you adjust your communication style?,Make sure to adjust communications to your audience and provide context
Understanding the business,Business insight,Doesn't understand how businesses work,Book: FYI For Your Improvement - Ch. 5 (pg. 52) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,"Identify someone you think is really good at this within your business unit and ask them what mental models or tools they use to stay on top of the business. ""What would you want any person that wants to understand the ubsiness better to be thinking about?""",Identify some sort of ongoing periodical or blog specific to your industry that is something you're comfortable reading on a daily basis and that you're interested in reading. Pick the right level of covering something interesting.,Do a search term for your company and search with competitive analysis. Will often raise big picture things of how the company compares to others. 
,,"Not up to date on current policies, trends, and info within the organization",Book - Survival of the Savvy —> https://www.amazon.com/Survival-Savvy-High-Integrity-Political-Tactics/dp/0743262549,,Sometimes people get constructive feedback on understanding the business because they understand the company on a thematic level but not on a metric level. Make sure you're comfortable with the internal algebra side of the business.,,
,,Is unaware of how strategies and tactics work in the business world,"""Power"" by Jeffery Pfeffer and Political Savvy by Joel DeLuca. The first is more hard-nosed and aggressive, the second is softer and strives to be more principles-based. The combination of the two provides
a useful continuum for how you might want to tweak your own methods.",,,,
,,"Depends on business knowledge and skills at the expense of personal, interpersonal, and leadership skills",,,,,
,Customer focus,Is unaware of customer expectations,Book: FYI For Your Improvement - Ch. 11 (pg. 128) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,"Conducts work from an internal, operational point of view",,,,,
,,Prioritizes information about customers over other important business realities,,,,,
,,Makes promises to the customers that the organization is unable to keep,,,,,
,Financial acumen,Unfamiliar with financial terms or unclear about cause-and-effect relationships among business functions and performance,Book: FYI For Your Improvement - Ch. 17 (pg. 202) - https://www.amazon.com/FYI-Improvement-Competencies-Development-Guide/dp/1933578904,,,,
,,Does not keep financial impact in mind when drawing conclusions,,,,,
